Frequency(MHz):,Magnitude(dB):
70,-4.5
110,-2.9
150,-2.3
190,-2.1
230,-1.5
270,-1.3
310,-1.2
350,-1.4
390,-1.4
430,-1.1
470,-0.9
510,-1.1
550,-1.2
590,-1.1
630,-0.8
670,-0.9
710,-1.2
750,-1.2
790,-0.8
830,-0.6
870,-0.7
910,-0.7
950,-0.5
990,-0.3
1030,-0.4
1070,-0.6
1110,-0.5
1150,-0.2
1190,-0.1
1230,-0.3
1270,-0.4
1310,-0.3
1350,-0.1
1390,-0.1
1430,-0.3
1470,-0.3
1510,-0.3
1550,-0.1
1590,-0.5
1630,-0.6
1670,-0.5
1710,-0.5
1750,-0.7
1790,-0.9
1830,-0.9
1870,-0.9
1910,-1.2
1950,-1.4
1990,-1.4
2030,-1.4
2070,-1.7
2110,-1.9
2150,-2
2190,-2
2230,-1.7
2270,-2.2
2310,-2
2350,-2
2390,-2
2430,-2
2470,-2.3
2510,-2.2
2550,-2
2590,-1.9
2630,-2.2
2670,-2.5
2710,-2.5
2750,-2.3
2790,-2.3
2830,-2.5
2870,-2.6
2910,-2.5
2950,-2.4
2990,-2.7
3030,-3
3070,-3
3110,-2.8
3150,-2.8
3190,-3
3230,-3.3
3270,-3.3
3310,-3.3
3350,-3.6
3390,-3.8
3430,-3.8
3470,-3.4
3510,-3.4
3550,-3.6
3590,-3.8
3630,-3.8
3670,-3.7
3710,-3.6
3750,-3.7
3790,-3.7
3830,-3.7
3870,-3.7
3910,-3.9
3950,-4
3990,-4
4030,-4.8
4070,-4.9
4110,-4.9
4150,-5
4190,-5.1
4230,-5.1
4270,-5.2
4310,-5.3
4350,-5.3
4390,-5.4
4430,-5.6
4470,-5.8
4510,-5.9
4550,-5.9
4590,-6
4630,-6
4670,-6.1
4710,-6.1
4750,-6.2
4790,-6.3
4830,-6.3
4870,-6.2
4910,-6.1
4950,-6.1
4990,-6.1
5030,-6.1
5070,-6.2
5110,-6.1
5150,-6.1
5190,-6
5230,-6
5270,-6
5310,-6.1
5350,-6.1
5390,-6
5430,-6.1
5470,-6.2
5510,-6.2
5550,-6.1
5590,-6.1
5630,-6.1
5670,-6.1
5710,-6.1
5750,-6.2
5790,-6.4
5830,-6.7
5870,-6.8
5910,-6.8
5950,-6.9
5990,-6.9
